Problem - C:\Koba\Science\UCON\Experiments-with-line-search\SparseSystems\Matrices\Kuu.mtx
CPU time: 197748
x[0   ]=218.392              x[1775]=351.704              x[3550]=67.2444              x[5325]=253.875              
x[732 ]=150.325              x[2507]=296.444              x[4282]=15.9683              x[6057]=137.876              
x[733 ]=349.934              x[2508]=128.527              x[4283]=205.229              x[6058]=59.098               
x[734 ]=150.337              x[2509]=298.16               x[4284]=3.58729              x[6059]=139.117              
x[735 ]=349.386              x[2510]=130.087              x[4285]=203.792              x[6060]=60.6036              
x[736 ]=150.408              x[2511]=299.896              x[4286]=-10.0681             x[6061]=140.369              
x[737 ]=348.945              x[2512]=132.033              x[4287]=201.853              x[6062]=61.7156              
x[738 ]=150.411              x[2513]=301.816              x[4288]=219.724              x[6063]=141.499              
x[739 ]=348.557              x[2514]=134.381              x[4289]=296.321              x[6064]=62.7292              
x[740 ]=150.465              x[2515]=303.901              x[4290]=207.287              x[6065]=142.615              
x[741 ]=348.281              x[2516]=136.894              x[4291]=295.106              x[6066]=63.6828              
x[742 ]=150.555              x[2517]=306.01               x[4292]=195.704              x[6067]=143.724              
x[743 ]=348.105              x[2518]=139.887              x[4293]=293.187              x[6068]=64.3213              
x[744 ]=150.549              x[2519]=308.297              x[4294]=184.964              x[6069]=144.702              
x[745 ]=347.974              x[2520]=143.371              x[4295]=290.715              x[6070]=64.9266              
x[746 ]=150.568              x[2521]=310.729              x[4296]=174.84               x[6071]=145.659              
x[747 ]=347.945              x[2522]=147.109              x[4297]=287.766              x[6072]=65.5268              
x[748 ]=150.593              x[2523]=313.15               x[4298]=165.629              x[6073]=146.61               
x[749 ]=348.005              x[2524]=151.403              x[4299]=284.607              x[6074]=65.8583              
x[750 ]=150.493              x[2525]=315.691              x[4300]=157.331              x[6075]=147.43               
x[751 ]=348.098              x[2526]=156.255              x[4301]=281.354              x[6076]=66.1964              
x[752 ]=150.385              x[2527]=318.298              x[4302]=149.681              x[6077]=148.234              
x[753 ]=348.279              x[2528]=161.407              x[4303]=278.004              x[6078]=66.564               
x[754 ]=150.25               x[2529]=320.789              x[4304]=142.939              x[6079]=149.036              
x[755 ]=348.536              x[2530]=167.141              x[4305]=274.767              x[6080]=66.6931              
x[756 ]=149.954              x[2531]=323.269              x[4306]=137.058              x[6081]=149.715              
x[757 ]=348.809              x[2532]=173.434              x[4307]=271.694              x[6082]=66.8556              
x[758 ]=149.612              x[2533]=325.655              x[4308]=131.729              x[6083]=150.383              
x[759 ]=349.152              x[2534]=179.999              x[4309]=268.719              x[6084]=67.0716              
x[760 ]=149.203              x[2535]=327.739              x[4310]=127.174              x[6085]=151.058              
x[761 ]=349.55               x[2536]=187.085              x[4311]=265.993              x[6086]=67.0705              
x[762 ]=148.59               x[2537]=329.603              x[4312]=123.321              x[6087]=151.617              
x[763 ]=349.941              x[2538]=194.632              x[4313]=263.513              x[6088]=67.1227              
x[764 ]=147.89               x[2539]=331.147              x[4314]=119.843              x[6089]=152.175              
x[765 ]=350.378              x[2540]=202.298              x[4315]=261.168              x[6090]=67.2465              
x[766 ]=147.077              x[2541]=332.145              x[4316]=116.955              x[6091]=152.746              
x[767 ]=350.842              x[2542]=210.274              x[4317]=259.075              x[6092]=67.1705              
x[768 ]=146.014              x[2543]=332.681              x[4318]=114.587              x[6093]=153.209              
x[769 ]=351.267              x[2544]=218.392              x[4319]=257.209              x[6094]=67.1638              
x[770 ]=144.817              x[2545]=332.62               x[4320]=112.42               x[6095]=153.679              
x[771 ]=351.704              x[2546]=54.9445              x[4321]=255.439              x[6096]=67.2444              
x[772 ]=143.459              x[2547]=41.2688              x[4322]=110.682              x[6097]=154.17               
x[773 ]=352.128              x[2548]=31.0358              x[4323]=253.875              x[6098]=67.1403              
x[774 ]=141.805              x[2549]=27.842               x[4324]=109.319              x[6099]=154.561              
x[775 ]=352.471              x[2550]=23.2863              x[4325]=252.486              x[6100]=67.1206              
x[776 ]=139.969              x[2551]=23.565               x[4326]=108.025              x[6101]=154.966              
x[777 ]=352.778              x[2552]=19.4263              x[4327]=251.144              x[6102]=67.2034              
x[778 ]=137.926              x[2553]=22.1226              x[4328]=107.044              x[6103]=155.4                
x[779 ]=353.02               x[2554]=17.0666              x[4329]=249.958              x[6104]=67.1169              
x[780 ]=135.541              x[2555]=21.4779              x[4330]=106.334              x[6105]=155.741              
x[781 ]=353.126              x[2556]=15.4601              x[4331]=248.902              x[6106]=67.1311              
x[782 ]=132.93               x[2557]=21.2963              x[4332]=105.604              x[6107]=156.104              
x[783 ]=353.134              x[2558]=14.3389              x[4333]=247.85               x[6108]=67.2647              
x[784 ]=130.069              x[2559]=21.2784              x[4334]=105.109              x[6109]=156.504              
x[785 ]=353.012              x[2560]=13.3534              x[4335]=246.917              x[6110]=67.2473              
x[786 ]=126.824              x[2561]=21.2596              x[4336]=104.816              x[6111]=156.819              
x[787 ]=352.685              x[2562]=12.6494              x[4337]=246.079              x[6112]=67.3504              
x[788 ]=123.311              x[2563]=21.3378              x[4338]=104.442              x[6113]=157.164              
x[789 ]=352.188              x[2564]=12.1486              x[4339]=245.216              x[6114]=67.5948              
